t,phi
6.970000000000001e-08,-0.06850906
6.98e-08,-0.1545296
6.99e-08,0.001220878
7e-08,0.05119259
7.01e-08,0.08717848
7.02e-08,-0.04395375
7.03e-08,0.03305247
7.040000000000001e-08,0.109352
7.05e-08,-0.0763914
7.06e-08,0.07056817
7.07e-08,0.05226452
7.08e-08,-0.04942244
7.09e-08,0.08273777
7.1e-08,0.02318826
7.110000000000001e-08,0.1548895
7.12e-08,0.1640095
7.13e-08,0.09710413
7.14e-08,0.05370608
7.15e-08,-0.08898675
7.16e-08,0.03939871
7.17e-08,-0.09399138
7.180000000000001e-08,-0.1570097
7.19e-08,0.08414444
7.2e-08,0.01132762
7.21e-08,-0.03102172
7.22e-08,0.1296962
7.23e-08,0.0362472
7.24e-08,0.2209253
7.250000000000001e-08,0.08379984
7.26e-08,0.007592055
7.270000000000001e-08,-0.035167
7.28e-08,0.1110799
7.29e-08,0.1597498
7.3e-08,-0.1051996
7.31e-08,0.05020531
7.320000000000001e-08,-0.02491636
7.33e-08,0.1836813
7.340000000000001e-08,0.02027114
7.35e-08,0.03271867
7.36e-08,0.02306433
7.37e-08,0.1873467
7.38e-08,0.03430494
7.39e-08,-0.01611795
7.4e-08,-0.0251545
7.410000000000001e-08,0.05404039
7.42e-08,-3.8521e-05
7.43e-08,-0.07101747
7.44e-08,0.1100855
7.45e-08,0.2026287
7.46e-08,0.1021735
7.47e-08,0.0461848
7.480000000000001e-08,-0.02804198
7.49e-08,0.0696717
7.5e-08,0.04581077
7.51e-08,0.08156328
7.52e-08,-0.04866103
7.53e-08,-0.01204899
7.54e-08,0.1421516
7.550000000000001e-08,-0.08419721
7.56e-08,0.05462421
7.57e-08,0.1256611
7.58e-08,-0.1145406
7.59e-08,0.04936435
7.6e-08,0.0137452
7.61e-08,0.04428565
7.620000000000001e-08,0.02402529
7.63e-08,0.06107127
7.640000000000001e-08,-0.1401421
7.65e-08,-0.02187937
7.66e-08,-0.02147111
7.67e-08,0.1658494
7.68e-08,0.05757407
7.690000000000001e-08,0.004528119
7.7e-08,-0.1333366
7.710000000000001e-08,0.0214614
7.72e-08,-0.02953329
7.73e-08,-0.09457784
7.74e-08,0.01066966
7.75e-08,0.01853806
7.760000000000001e-08,0.1167341
7.77e-08,0.1043329
