cycle,time,phi[ngx/4 ngy/2],Ex[ngx/4 ngy/2],Ey[ngx/4 ngy/2]
207540,1.0377e-06,6.368162e-01,7.460202e-01,-8.192570e-01
207560,1.0378e-06,6.345211e-01,8.188657e-01,-8.889424e-01
207580,1.0379e-06,6.373399e-01,7.752963e-01,-9.451466e-01
207600,1.038e-06,6.500939e-01,5.853516e-01,-7.305332e-01
207620,1.0381e-06,6.452769e-01,7.971834e-01,-8.445882e-01
207640,1.0382e-06,6.471239e-01,1.033260e+00,-8.874332e-01
207660,1.0383e-06,6.554520e-01,8.325427e-01,-7.852982e-01
207680,1.0384e-06,6.532339e-01,8.310751e-01,-1.097140e+00
207700,1.0385e-06,6.513928e-01,8.126279e-01,-9.739053e-01
207720,1.0386e-06,6.531458e-01,7.170703e-01,-8.727966e-01
